test,type,interactions,elapsed_time,find_type
test_base,memalloc,1321,5.8510003090,null
test_base,std,1321,0.1030000076,std
test_base,memalloc,1331,6.2860002518,first_fit
test_base,memalloc,1331,5.9740004539,worst_fit
test_base,memalloc,1331,8.4940004349,null
test_base,std,1331,0.1180000082,std
test_base,memalloc,1341,5.5250000954,first_fit
test_base,memalloc,1341,6.6800003052,worst_fit
test_base,memalloc,1341,7.1390004158,null
test_base,std,1341,0.0990000069,std
test_base,memalloc,1351,8.1210002899,first_fit
test_base,memalloc,1351,8.6850004196,worst_fit
test_base,memalloc,1351,5.9860000610,null
test_base,std,1351,0.1020000055,std
test_base,memalloc,1361,8.5100002289,first_fit
test_base,memalloc,1361,8.2040004730,worst_fit
test_base,memalloc,1361,9.6110000610,null
test_base,std,1361,0.1380000114,std
test_base,memalloc,1371,7.4650001526,first_fit
test_base,memalloc,1371,9.5820007324,worst_fit
test_base,memalloc,1371,6.6730003357,null
test_base,std,1371,0.1190000027,std
test_base,memalloc,1381,7.1760001183,first_fit
test_base,memalloc,1381,7.5850005150,worst_fit
test_base,memalloc,1381,5.7370004654,null
test_base,std,1381,0.1330000013,std
test_base,memalloc,1391,6.2210001945,first_fit
test_base,memalloc,1391,6.2490000725,worst_fit
test_base,memalloc,1391,6.1030001640,null
test_base,std,1391,0.0900000036,std
test_base,memalloc,1401,6.2910003662,first_fit
test_base,memalloc,1401,6.1880002022,worst_fit
test_base,memalloc,1401,8.0790004730,null
test_base,std,1401,0.1420000046,std
test_base,memalloc,1411,6.8210000992,first_fit
test_base,memalloc,1411,6.3460001945,worst_fit
test_base,memalloc,1411,7.5420002937,null
test_base,std,1411,0.1050000042,std
test_base,memalloc,1421,6.0610003471,first_fit
test_base,memalloc,1421,8.7980003357,worst_fit
test_base,memalloc,1421,8.3310003281,null
test_base,std,1421,0.1060000062,std
test_base,memalloc,1431,5.6300001144,first_fit
test_base,memalloc,1431,7.9520001411,worst_fit
test_base,memalloc,1431,10.5500001907,null
test_base,std,1431,0.1020000055,std
test_base,memalloc,1441,8.1760005951,first_fit
test_base,memalloc,1441,6.5800004005,worst_fit
test_base,memalloc,1441,6.2270002365,null
test_base,std,1441,0.0990000069,std
test_base,memalloc,1451,7.2610001564,first_fit
test_base,memalloc,1451,6.3820004463,worst_fit
test_base,memalloc,1451,7.3430004120,null
test_base,std,1451,0.0880000070,std
test_base,memalloc,1461,8.7420005798,first_fit
test_base,memalloc,1461,8.5729999542,worst_fit
test_base,memalloc,1461,6.2160000801,null
test_base,std,1461,0.1030000076,std
test_base,memalloc,1471,7.4870004654,first_fit
test_base,memalloc,1471,7.1190004349,worst_fit
test_base,memalloc,1471,6.7100005150,null
test_base,std,1471,0.1260000020,std
test_base,memalloc,1481,14.7680006027,first_fit
test_base,memalloc,1481,8.3770008087,worst_fit
test_base,memalloc,1481,6.5350003242,null
test_base,std,1481,0.1300000101,std
test_base,memalloc,1491,7.0620002747,first_fit
test_base,memalloc,1491,6.6430001259,worst_fit
test_base,memalloc,1491,6.2480001450,null
test_base,std,1491,0.1240000054,std
test_base,memalloc,1501,8.4710006714,first_fit
test_base,memalloc,1501,7.1270003319,worst_fit
test_base,memalloc,1501,10.2520008087,null
test_base,std,1501,0.1260000020,std
test_base,memalloc,1511,6.2200002670,first_fit
