test,type,interactions,elapsed_time,find_type
test_base,memalloc,771,9.891001,first_fit
test_base,memalloc,771,10.684001,worst_fit
test_base,memalloc,771,10.599001,null
test_base,std,771,0.065000,std
test_base,memalloc,781,10.590000,first_fit
test_base,memalloc,781,10.078000,worst_fit
test_base,memalloc,781,10.268001,null
test_base,std,781,0.062000,std
test_base,memalloc,791,9.888000,first_fit
test_base,memalloc,791,10.324000,worst_fit
test_base,memalloc,791,10.545000,null
test_base,std,791,0.065000,std
test_base,memalloc,801,11.281000,first_fit
test_base,memalloc,801,10.250001,worst_fit
test_base,memalloc,801,9.952001,null
test_base,std,801,0.065000,std
test_base,memalloc,811,11.678000,first_fit
test_base,memalloc,811,10.667001,worst_fit
test_base,memalloc,811,12.877001,null
test_base,std,811,0.063000,std
test_base,memalloc,821,11.612000,first_fit
test_base,memalloc,821,13.008000,worst_fit
test_base,memalloc,821,12.410001,null
test_base,std,821,0.064000,std
test_base,memalloc,831,12.123000,first_fit
test_base,memalloc,831,11.289978,worst_fit
test_base,memalloc,831,11.390000,null
test_base,std,831,0.069000,std
test_base,memalloc,841,20.352001,first_fit
test_base,memalloc,841,11.065001,worst_fit
test_base,memalloc,841,10.777000,null
test_base,std,841,0.064000,std
test_base,memalloc,851,10.636001,first_fit
test_base,memalloc,851,11.665001,worst_fit
test_base,memalloc,851,12.153001,null
test_base,std,851,0.068000,std
test_base,memalloc,861,14.887001,first_fit
test_base,memalloc,861,12.338000,worst_fit
test_base,memalloc,861,11.726001,null
test_base,std,861,0.073000,std
test_base,memalloc,871,11.844001,first_fit
test_base,memalloc,871,12.719001,worst_fit
test_base,memalloc,871,13.630001,null
test_base,std,871,0.085000,std
test_base,memalloc,881,11.551001,first_fit
test_base,memalloc,881,11.408001,worst_fit
test_base,memalloc,881,10.975000,null
test_base,std,881,0.069000,std
test_base,memalloc,891,11.089001,first_fit
test_base,memalloc,891,10.840000,worst_fit
test_base,memalloc,891,11.658001,null
test_base,std,891,0.067000,std
test_base,memalloc,901,14.111001,first_fit
test_base,memalloc,901,11.800000,worst_fit
test_base,memalloc,901,11.292001,null
test_base,std,901,0.069000,std
test_base,memalloc,911,11.753000,first_fit
test_base,memalloc,911,11.275001,worst_fit
test_base,memalloc,911,14.330001,null
test_base,std,911,0.071000,std
test_base,memalloc,921,12.837001,first_fit
test_base,memalloc,921,14.277000,worst_fit
test_base,memalloc,921,13.801001,null
test_base,std,921,0.071000,std
test_base,memalloc,931,12.416000,first_fit
test_base,memalloc,931,12.903001,worst_fit
test_base,memalloc,931,13.034000,null
test_base,std,931,0.072000,std
test_base,memalloc,941,18.066000,first_fit
test_base,memalloc,941,13.306001,worst_fit
test_base,memalloc,941,12.670001,null
test_base,std,941,0.070000,std
test_base,memalloc,951,11.723001,first_fit
test_base,memalloc,951,16.275002,worst_fit
test_base,memalloc,951,12.144001,null
test_base,std,951,0.072000,std
test_base,memalloc,961,12.462001,first_fit
test_base,memalloc,961,13.721001,worst_fit
test_base,memalloc,961,12.016001,null
test_base,std,961,0.070000,std
test_base,memalloc,971,11.852000,first_fit
test_base,memalloc,971,11.878000,worst_fit
test_base,memalloc,971,12.234000,null
test_base,std,971,0.076000,std
test_base,memalloc,981,13.477000,first_fit
test_base,memalloc,981,12.457001,worst_fit
test_base,memalloc,981,12.258000,null
test_base,std,981,0.071000,std
test_base,memalloc,991,12.389001,first_fit
test_base,memalloc,991,13.632935,worst_fit
test_base,memalloc,991,12.775001,null
test_base,std,991,0.070000,std
test_base,memalloc,1001,15.012001,first_fit
test_base,memalloc,1001,14.546000,worst_fit
test_base,memalloc,1001,13.037001,null
test_base,std,1001,0.073000,std
test_base,memalloc,1011,12.952001,first_fit
test_base,memalloc,1011,12.636001,worst_fit
test_base,memalloc,1011,12.765000,null
test_base,std,1011,0.079000,std
test_base,memalloc,1021,13.297001,first_fit
test_base,memalloc,1021,12.905001,worst_fit
test_base,memalloc,1021,14.483001,null
test_base,std,1021,0.072000,std
test_base,memalloc,1031,12.880001,first_fit
test_base,memalloc,1031,12.830001,worst_fit
test_base,memalloc,1031,12.978001,null
test_base,std,1031,0.070000,std
test_base,memalloc,1041,13.900001,first_fit
test_base,memalloc,1041,16.573000,worst_fit
test_base,memalloc,1041,16.487001,null
test_base,std,1041,0.074000,std
test_base,memalloc,1051,13.220000,first_fit
test_base,memalloc,1051,13.439001,worst_fit
test_base,memalloc,1051,12.913001,null
test_base,std,1051,0.071000,std
test_base,memalloc,1061,13.223001,first_fit
test_base,memalloc,1061,13.524000,worst_fit
test_base,memalloc,1061,13.295001,null
test_base,std,1061,0.079000,std
test_base,memalloc,1071,13.866001,first_fit
test_base,memalloc,1071,13.529000,worst_fit
test_base,memalloc,1071,13.360001,null
test_base,std,1071,0.079000,std
test_base,memalloc,1081,13.595000,first_fit
test_base,memalloc,1081,13.730000,worst_fit
test_base,memalloc,1081,13.839001,null
test_base,std,1081,0.082000,std
test_base,memalloc,1091,13.884001,first_fit
test_base,memalloc,1091,13.662001,worst_fit
test_base,memalloc,1091,15.045001,null
test_base,std,1091,0.079000,std
test_base,memalloc,1101,14.742001,first_fit
test_base,memalloc,1101,16.953001,worst_fit
test_base,memalloc,1101,15.224001,null
test_base,std,1101,0.084000,std
test_base,memalloc,1111,15.573001,first_fit
test_base,memalloc,1111,14.618001,worst_fit
test_base,memalloc,1111,13.839001,null
test_base,std,1111,0.079000,std
test_base,memalloc,1121,15.633000,first_fit
test_base,memalloc,1121,14.374001,worst_fit
test_base,memalloc,1121,16.017000,null
test_base,std,1121,0.084000,std
test_base,memalloc,1131,15.528001,first_fit
test_base,memalloc,1131,14.820001,worst_fit
test_base,memalloc,1131,15.759001,null
test_base,std,1131,0.080000,std
test_base,memalloc,1141,16.335001,first_fit
test_base,memalloc,1141,17.375000,worst_fit
test_base,memalloc,1141,15.182001,null
test_base,std,1141,0.080000,std
test_base,memalloc,1151,15.415001,first_fit
test_base,memalloc,1151,15.357000,worst_fit
test_base,memalloc,1151,15.336000,null
test_base,std,1151,0.080000,std
test_base,memalloc,1161,15.860001,first_fit
test_base,memalloc,1161,15.283001,worst_fit
test_base,memalloc,1161,15.290001,null
test_base,std,1161,0.082000,std
test_base,memalloc,1171,15.093000,first_fit
test_base,memalloc,1171,17.326000,worst_fit
test_base,memalloc,1171,15.779000,null
test_base,std,1171,0.083000,std
test_base,memalloc,1181,14.811001,first_fit
test_base,memalloc,1181,14.861001,worst_fit
test_base,memalloc,1181,14.868001,null
test_base,std,1181,0.081000,std
test_base,memalloc,1191,15.604001,first_fit
test_base,memalloc,1191,15.036000,worst_fit
test_base,memalloc,1191,15.117001,null
test_base,std,1191,0.080000,std
test_base,memalloc,1201,15.584001,first_fit
test_base,memalloc,1201,14.816001,worst_fit
test_base,memalloc,1201,15.394001,null
test_base,std,1201,0.086000,std
test_base,memalloc,1211,17.451000,first_fit
test_base,memalloc,1211,15.808001,worst_fit
test_base,memalloc,1211,15.323001,null
test_base,std,1211,0.081000,std
test_base,memalloc,1221,15.199000,first_fit
test_base,memalloc,1221,15.376000,worst_fit
test_base,memalloc,1221,15.524001,null
test_base,std,1221,0.083000,std
test_base,memalloc,1231,17.972000,first_fit
test_base,memalloc,1231,18.203001,worst_fit
test_base,memalloc,1231,16.100000,null
test_base,std,1231,0.082000,std
test_base,memalloc,1241,15.906001,first_fit
test_base,memalloc,1241,15.613001,worst_fit
test_base,memalloc,1241,20.820002,null
test_base,std,1241,0.081000,std
test_base,memalloc,1251,16.592001,first_fit
